name	house_type	bed_number	comment_num	price	discount	link
梧桐街道的宜家风LOFT/徐家汇公园/复旦大学/中山医院/肇嘉浜路地铁站步行5分钟	整间LOFT	1室1卫1床	9	258	Null	https://www.airbnb.cn/rooms/40462338?previous_page_section_name=1000
小去由 ｜ 淮海中路地铁站零距离，迪士尼直达 90年代美式休闲风格，大屏幕投影仪 舒适 温馨	整套公寓	1室1卫1床	153	258	Null	https://www.airbnb.cn/rooms/22818535?previous_page_section_name=1000
在永康路的公寓与屋顶花园, 近襄阳公园, 陕西南路地铁, wi-fi, 市中心交通便利, 舒适和安全	独立房间	1室1卫1床	133	99	Null	https://www.airbnb.cn/rooms/23078963?previous_page_section_name=1000
【 两岸风华•泊江】长租特惠，外滩江景高层loft秋千美宅，极米投影，设计家居+落地大窗，近地铁	整间LOFT	1室1.5卫1床	33	450	Null	https://www.airbnb.cn/rooms/34740534?previous_page_section_name=1000
愚园老洋房2号11号线直达，路径机场，火车站，迪斯尼，人民广场，交通大学，徐家汇等各上海各景点	整套房子	1室1卫1床	27	299	Null	https://www.airbnb.cn/rooms/38242985?previous_page_section_name=1000
【七月】上海黄浦区新天地地铁站0距离//城隍庙//淮海路//田子坊//外滩//思南公馆//陆家嘴	整套房子	1室1.5卫1床	24	189	Null	https://www.airbnb.cn/rooms/40760595?previous_page_section_name=1000
【爱袋客】大愚海棠-老洋房静安寺中山公园双地铁沿线·迪斯尼·机场·豫园·外滩直达	整套房子	1室1卫1床	39	283	Null	https://www.airbnb.cn/rooms/22458144?previous_page_section_name=1000
可月租环贸/陕西南路站/复兴中路/南昌路/地铁站零距离	整套公寓	1室1.5卫1床	18	258	Null	https://www.airbnb.cn/rooms/37263835?previous_page_section_name=1000
近地铁南京路步行街/投影设备观景	整套公寓	1室1卫2床	0	369	Null	https://www.airbnb.cn/rooms/43501736?previous_page_section_name=1000
静安寺附近都市清新美宿 市中心核心商圈地段 2号线静安寺地铁站 暂不接待外宾	整套公寓	1室1卫1床	114	239	Null	https://www.airbnb.cn/rooms/28971699?previous_page_section_name=1000
Fancy duplex with great view in center市中心顶楼复式景观房	独立房间	1室3卫1床	11	288	Null	https://www.airbnb.cn/rooms/24727026?previous_page_section_name=1000
Wepark 芳草寓 燕脂	整套公寓	2室1.5卫2床	0	300	Null	https://www.airbnb.cn/rooms/43490022?previous_page_section_name=1000
交通大学附近精装loft	整套公寓	1室1卫1床	0	188	Null	https://www.airbnb.cn/rooms/43184320?previous_page_section_name=1000
【1930步高里】北欧INS/可长租/田子坊日月光瑞金医院五百米，9/12号嘉善路站7分钟·巴金故居	整套公寓	1室1卫1床	34	179	Null	https://www.airbnb.cn/rooms/40050236?previous_page_section_name=1000
【绿野仙の4k影音飘窗休闲小屋】南京东路，人民广场，大悦城，曲阜路地铁站 8 号 9号线地铁	独立房间	1室2卫1床	231	199	Null	https://www.airbnb.cn/rooms/19666157?previous_page_section_name=1000
限女生，中山公园、延安西路地铁站电梯公寓朝南15平带阳台主卧大床，近东华大学，可做饭，有switch	独立房间	1室1卫1床	11	129	Null	https://www.airbnb.cn/rooms/39500118?previous_page_section_name=1000
上海特色/淮海路/人文思南路/宜家风LOFT	整套房子	1室1卫1床	7	168	Null	https://www.airbnb.cn/rooms/40829913?previous_page_section_name=1000
武康路长乐路音乐学院上戏衡山路静安寺日式极简弄堂三层复式投影jinan temple henshan	独立房间	1室1.5卫0床	92	147	Null	https://www.airbnb.cn/rooms/31506447?previous_page_section_name=1000
12云◇明月★百寸巨幕投影房★地铁口外滩南京路,仁济医院,聆听外滩钟声跨年狂欢夜 2号线,商旅,发票	整套公寓	1室1卫1床	0	296	Null	https://www.airbnb.cn/rooms/38663703?previous_page_section_name=1000
【月租优惠】地中海风情高层公寓/百寸投影&柳营路灯具城&上海火车站&外滩&城隍庙	整套公寓	1室1.5卫2床	5	189	Null	https://www.airbnb.cn/rooms/38027975?previous_page_section_name=1000
ins莫兰迪和风_徐家汇地铁站步行1分钟_卧室+独立卫浴 Xujiahui station	独立房间	1室1卫1床	15	183	Null	https://www.airbnb.cn/rooms/38563185?previous_page_section_name=1000
【城宿·自然醒】300米南京西路地铁站/免费存行李送攻略/时尚墨蓝loft/静安寺外滩田子坊武康路	整栋别墅	1室1卫2床	4	254	Null	https://www.airbnb.cn/rooms/40131240?previous_page_section_name=1000
月租优惠# 北欧风#舒适阁楼+近地铁4、11号线地铁口 可做饭	独立房间	1室1卫1床	15	88	Null	https://www.airbnb.cn/rooms/40574116?previous_page_section_name=1000
【都市雅阁】❤温馨两居 ❤【人民广场】【外滩】【城隍庙】【豫园】近地铁交通便利	整间LOFT	2室1卫3床	5	258	Null	https://www.airbnb.cn/rooms/35473353?previous_page_section_name=1000
田子坊相邻暖心浪漫美宅	整套公寓	1室1卫1床	3	248	Null	https://www.airbnb.cn/rooms/41000703?previous_page_section_name=1000
梧桐街道的明亮LOFT/徐家汇公园/复旦大学/中山医院/肇嘉浜路地铁站步行5分钟	整间LOFT	1室1卫2床	7	235	Null	https://www.airbnb.cn/rooms/41020536?previous_page_section_name=1000
13号线丰庄路地铁口大飘窗性价比高房源/直达金沙江路环球港/淮海中路/南京西路/上海自然博物馆	独立房间	1室1.5卫1床	10	85	Null	https://www.airbnb.cn/rooms/22720917?previous_page_section_name=1000
限女生，中山公园、延安西路地铁站电梯公寓朝南15平次卧大床，近东华大学，可做饭，有switch	独立房间	1室1卫1床	28	129	Null	https://www.airbnb.cn/rooms/39501855?previous_page_section_name=1000
上海2/10号线南京东路地铁站南京东路步行街人民广场东方明珠豫园城隍庙外滩店逗号公寓大床房一居室	整套公寓	1室1卫1床	4	178	Null	https://www.airbnb.cn/rooms/30871405?previous_page_section_name=1000
【路客】全屋消毒|特色loft老洋房|步行地铁5min|3站地铁可达外滩人民广场|近田子坊【1居】『东方韵味』	整套房子	1室1卫1床	50	306	Null	https://www.airbnb.cn/rooms/26235016?previous_page_section_name=1000
【视界】豫园/城隍庙300米，高层俯瞰外滩夜景，3房4床，近地铁，近外滩，南京路步行街	整套公寓	3室2卫4床	7	656	Null	https://www.airbnb.cn/rooms/33886939?previous_page_section_name=1000
Cosy room in the city center!	独立房间	1室1卫1床	0	129	Null	https://www.airbnb.cn/rooms/40054549?previous_page_section_name=1000
老上海的韵味,现代的便利生活	整套公寓	1室1卫1床	93	146	Null	https://www.airbnb.cn/rooms/20120792?previous_page_section_name=1000
普陀区中山北路距离华师大541米，环球港、地铁3号4号13号516米，华东政法大学1.6公里	独立房间	1室1.5卫1床	177	125	Null	https://www.airbnb.cn/rooms/13405728?previous_page_section_name=1000
Rock 'n' peace · 私人影院 · 宇宙中心 · 云峰剧场 · 静安寺 · 人民广场	整套公寓	1室1卫1床	44	202	Null	https://www.airbnb.cn/rooms/33531052?previous_page_section_name=1000
【16】月租三千八 市中心 上海火车站 3 4号线 单间卧室 仅租女生或情侣 30天起租	独立房间	1室1卫1床	39	168	Null	https://www.airbnb.cn/rooms/38861420?previous_page_section_name=1000
Central located,small loft room,near line 1 10 12	独立房间	1室1卫1床	11	100	Null	https://www.airbnb.cn/rooms/40274302?previous_page_section_name=1000
高安温馨小屋	小屋	1室1卫1床	4	208	Null	https://www.airbnb.cn/rooms/43208062?previous_page_section_name=1000
【初日】《疫情可入住》地铁2/11直达机场外滩双人床	整套房子	1室1卫1床	35	268	Null	https://www.airbnb.cn/rooms/39029592?previous_page_section_name=1000
「一间森林」轻奢SOLO单人间 | 毗邻南京路步行街&外滩&大世界丨地铁沿线丨享受一个人的好时光	青旅单间	1室1卫1床	5	194	Null	https://www.airbnb.cn/rooms/39759746?previous_page_section_name=1000
French Concesstion Tai'an cozy room	独立房间	1室1卫1床	19	87	Null	https://www.airbnb.cn/rooms/28235779?previous_page_section_name=1000
【情书】外滩浪漫江景loft一房/超大落地窗@步行至外滩/城隍庙/豫园/东方明珠/人广@超棒夜景	整间LOFT	1室1卫1床	30	282	Null	https://www.airbnb.cn/rooms/21921162?previous_page_section_name=1000
Wepark芳草寓 绅士漫画房	整套公寓	1室1卫1床	0	116	Null	https://www.airbnb.cn/rooms/43251155?previous_page_section_name=1000
近江苏路静安寺南京西路高级公寓房（不可做饭）/奕豪华4/点房东头像看房东其他房源更多房源供选择	整套公寓	1室1卫1床	10	358	Null	https://www.airbnb.cn/rooms/41156001?previous_page_section_name=1000
〔史努比〕南京东路/外滩/豫园/东方明珠景观大床房/地铁2号/10号线南京东路站/往返迪士尼大巴	整套公寓	1室1卫1床	19	198	Null	https://www.airbnb.cn/rooms/39679066?previous_page_section_name=1000
2上海体育馆 徐家汇 安全消毒 地铁1号线4号线步行8分钟 龙华医院 肿瘤医院	整套公寓	1室1卫1床	0	235	Null	https://www.airbnb.cn/rooms/43472389?previous_page_section_name=1000
延安西路番禺路口55平套房 无厨房	整套公寓	1室1.5卫1床	6	358	Null	https://www.airbnb.cn/rooms/27469278?previous_page_section_name=1000
陆家嘴豪宅社区	整套公寓	1室2卫1床	0	866	Null	https://www.airbnb.cn/rooms/43385596?previous_page_section_name=1000
【每客消毒】迪士尼附近独立一室公寓/13号线中科路地铁站步行150米/直达南京西路新天地淮海路世博源	整套公寓	1室1卫1床	21	189	Null	https://www.airbnb.cn/rooms/39927434?previous_page_section_name=1000
【浪漫回忆】【人民广场】【南京东路】【外滩】【地铁口】【飞机直达】简约浪漫风，朋友相聚一起去旅行	整套公寓	2室1卫2床	0	288	Null	https://www.airbnb.cn/rooms/43339071?previous_page_section_name=1000
【岭墅】月租特惠，外滩边顶层楼王,繁华之上俯望尘嚣,外滩江景,巨幅投影,交通便利,近地铁L10/12	整间LOFT	1室1.5卫1床	47	720	Null	https://www.airbnb.cn/rooms/34581460?previous_page_section_name=1000
【怡】外滩300米/南京东路步行7分钟。近地铁便于出行,东方明珠/人民广场一站直达。体验上海里弄。	整套公寓	1室1卫2床	9	158	Null	https://www.airbnb.cn/rooms/39878528?previous_page_section_name=1000
一间森林大床房	精品酒店客房	1室1卫1床	0	200	Null	https://www.airbnb.cn/rooms/43145428?previous_page_section_name=1000
小陈的小米之家	整套公寓	1室1卫3床	0	189	Null	https://www.airbnb.cn/rooms/43470858?previous_page_section_name=1000
衡复文化区•清新ins风直达外滩/迪士尼/虹桥机场/城隍庙/武康路/上戏#地铁10•11号线温馨一室	整套房子	1室1卫1床	74	249	Null	https://www.airbnb.cn/rooms/31934177?previous_page_section_name=1000
【潭古.未央】老宅新生1/10/12/13号线陕西南路&淮海中路地铁站/独门独院一室户Loft整租	整间LOFT	1室1卫2床	89	343	Null	https://www.airbnb.cn/rooms/27675109?previous_page_section_name=1000
【萌喵】投影/温馨/11号线【枫桥路站100米】独立卧室/近环球港/交大/徐家汇四站直达	独立房间	1室1卫1床	0	125	Null	https://www.airbnb.cn/rooms/43227647?previous_page_section_name=1000
衡山路loft风格温馨老洋房	整套公寓	1室1卫2床	10	300	Null	https://www.airbnb.cn/rooms/14910664?previous_page_section_name=1000
[玉兰]绍兴路百年洋房 梧桐树下的 电影小屋 近田子坊/iapm 有猫可撸	独立房间	1室1卫1床	172	311	Null	https://www.airbnb.cn/rooms/12674472?previous_page_section_name=1000
近江苏路南京西路静安寺高级公寓一房一厅/奕一8/点房东头像看房东其他房源更多房源供选择	整套公寓	1室1卫1床	10	458	Null	https://www.airbnb.cn/rooms/30970093?previous_page_section_name=1000
陕西南路地铁站步行4分钟/ 法界老洋房超大窗户/近10、12、1号线/淮海中路/南京西路/田子坊	整间LOFT	2室1卫4床	25	429	Null	https://www.airbnb.cn/rooms/41735792?previous_page_section_name=1000
悦海小居/中式古典/南京西路漫步街头时尚/禧睿17	整套公寓	1室1.5卫1床	25	298	Null	https://www.airbnb.cn/rooms/38104496?previous_page_section_name=1000
Wepark芳草寓 灵犀	整套公寓	1室1.5卫1床	0	160	Null	https://www.airbnb.cn/rooms/43471617?previous_page_section_name=1000
短租长租#温馨空中阁楼，徐家汇上海体育场旁，地铁4号线上海体育场，11号线上海游泳馆可直达	独立房间	1室1卫1床	21	88	Null	https://www.airbnb.cn/rooms/40217544?previous_page_section_name=1000
【静安寺商圈/近戏剧学院】115㎡豪华两室一厅/4条地铁上盖/可做饭	整套公寓	2室1卫2床	9	638	Null	https://www.airbnb.cn/rooms/33298649?previous_page_section_name=1000
无障碍入住！【上海虹桥枢纽零距离】会展中心韩国城近地铁安静cozy stay温馨大床小窝1m5床	独立房间	1室1卫1床	38	138	Null	https://www.airbnb.cn/rooms/38270659?previous_page_section_name=1000
可做饭中长租，特惠2！市区地铁口400米高层电梯房，整租大床房，近外滩，双地铁出行方便，虹桥直达	整套公寓	1室1卫1床	4	228	Null	https://www.airbnb.cn/rooms/41996555?previous_page_section_name=1000
暖心的小窝203附近世纪联华，商场，地铁3号线，赤峰路站	整套公寓	1室1卫1床	10	199	Null	https://www.airbnb.cn/rooms/36992739?previous_page_section_name=1000
江苏路商圈近衡复文化区豪华一居静安寺南京西路享便利交通奕一房3点房东头像看房东其他房源更多房源供选择	整套公寓	1室1卫1床	48	458	Null	https://www.airbnb.cn/rooms/21613627?previous_page_section_name=1000
【每客消毒】 ohdarling限定款 近静安寺淮海路 马约尔蓝艺术洋房 机场火车站外滩地铁直达	整套公寓	1室1卫1床	36	349	Null	https://www.airbnb.cn/rooms/41066933?previous_page_section_name=1000
【月租特惠大沪人家】衡复文化区复古浪漫阁楼带阳台永康路近陕西南路地铁1 10 12号线	整间LOFT	1室1卫2床	130	249	Null	https://www.airbnb.cn/rooms/20179421?previous_page_section_name=1000
已消毒可接待【故事`缘起】体验衡山路的花园洋房-内带投影•电视•烘干机，自由探寻旅途中的快乐与回忆	整套公寓	1室1卫2床	5	430	Null	https://www.airbnb.cn/rooms/41277851?previous_page_section_name=1000
【丛林卷】嘉善路/可正常入住不隔离/近田子坊淮海中路/花园洋房/主卧独卫可加床/月租8k/每客消毒	独立房间	1室1卫2床	71	228	Null	https://www.airbnb.cn/rooms/35257560?previous_page_section_name=1000
【超赞房东】市中心高档小区 可长租 人民广场/外滩/南京路/新天地 步行即到	独立房间	1室1卫1床	105	200	Null	https://www.airbnb.cn/rooms/32576389?previous_page_section_name=1000
「Art House」市中心陆家嘴，十分钟到外滩豫园南京东路/北欧风整套房屋	整套公寓	1室1卫1床	195	269	Null	https://www.airbnb.cn/rooms/21072872?previous_page_section_name=1000
【MOSSYHOUSE】独门整租，永康路网红街，近地铁1/10/12号线/淮海中路/新天地/田子坊	整套房子	1室1卫1床	131	199	Null	https://www.airbnb.cn/rooms/33033654?previous_page_section_name=1000
【哈默的窗】衡复文化中心复兴西路百年法式大阳台公寓	整套公寓	1室1.5卫1床	12	773	Null	https://www.airbnb.cn/rooms/38483704?previous_page_section_name=1000
【Gaston202】近陕西南路淮海中路Iapm永康路/法式租界洋房/复古海派/回梦夜上海	整套房子	1室1卫1床	30	568	Null	https://www.airbnb.cn/rooms/38998641?previous_page_section_name=1000
福楼（58）环贸apim中心+上海音乐学院旁的精致底楼公寓	整套公寓	1室1卫1床	0	150	Null	https://www.airbnb.cn/rooms/40976836?previous_page_section_name=1000
万体馆边上的安静房间～演唱会，足球比赛的休息站！	独立房间	1室1卫1床	3	139	Null	https://www.airbnb.cn/rooms/37980851?previous_page_section_name=1000
【奈卜 Nap】已消毒 法式老洋房 LOFT近日月光/田子坊/环贸/静安寺/人民广场 地铁600米	整间LOFT	1室1.5卫3床	3	279	Null	https://www.airbnb.cn/rooms/43038683?previous_page_section_name=1000
【复旦假期】长租半价	整套公寓	1室1卫2床	78	214	Null	https://www.airbnb.cn/rooms/20127251?previous_page_section_name=1000
Lionterest小狮家新房特价|租界网红店街闹中取静百年洋房巴洛克清新藤艺吊篮带阳台咖啡花园天井	整套联排别墅	1室1.5卫1床	59	350	Null	https://www.airbnb.cn/rooms/34576686?previous_page_section_name=1000
「安心住」【沉默是金】之投影、高层、大房、市中心，近外滩、东宝兴路零距离	整套公寓	1室1卫1床	8	330	Null	https://www.airbnb.cn/rooms/43323392?previous_page_section_name=1000
珀懿【绿野仙踪】田子坊/新天地/思南公馆/瑞金医院毗邻打浦桥日月光商圈带精致私家小花园 地铁双线通达	整套房子	1室1卫2床	91	615	Null	https://www.airbnb.cn/rooms/34243456?previous_page_section_name=1000
干净舒适旅居佳选，杨浦控江路、近新华医院、同济大学、大连路商务圈、地铁8号线直达	整套公寓	1室1卫1床	0	285	Null	https://www.airbnb.cn/rooms/43509019?previous_page_section_name=1000
已消毒可入住【百年愚园路】安家同类型老洋房/4分至地铁 11号线直达乐园	整套公寓	1室1卫1床	14	283	Null	https://www.airbnb.cn/rooms/40738923?previous_page_section_name=1000
[缘舍]上海淮海路*建国西路*田子坊*新天地*建业里*迪士尼	整套公寓	1室1卫1床	81	388	Null	https://www.airbnb.cn/rooms/11504576?previous_page_section_name=1000
陆家嘴【新房高性价比】180度豪华江景 巨幕投影 动感单车 精选图书 完整独立厨房	整套公寓	1室1卫1床	33	598	Null	https://www.airbnb.cn/rooms/34548971?previous_page_section_name=1000
田子坊商圈，市区地铁口-怡乐居Comfortable home	独立房间	1室1卫1床	64	160	Null	https://www.airbnb.cn/rooms/23870137?previous_page_section_name=1000
长租优惠 环贸 巴黎春天 复式小资房	整间LOFT	1室1卫1床	0	230	Null	https://www.airbnb.cn/rooms/43289807?previous_page_section_name=1000
近上海火车站/人民广场/M50艺术创意园/浅水湾剧场/万代南梦宫/虹口足球场/静安寺的温馨书房	独立房间	1室1.5卫1床	44	159	Null	https://www.airbnb.cn/rooms/37947397?previous_page_section_name=1000
N2【特惠Special Discount】Cozyroom Convenient location	独立房间	1室1卫1床	12	138	Null	https://www.airbnb.cn/rooms/33346961?previous_page_section_name=1000
短租或长租可细聊/南京西路/自然博物馆/石门二路/闹中取静的弄堂小洋房/设计师之家/和房东共用客厅	独立房间	1室1卫1床	5	186	Null	https://www.airbnb.cn/rooms/40689825?previous_page_section_name=1000
如新主题房	整套公寓	1室1.5卫1床	17	158	Null	https://www.airbnb.cn/rooms/39293756?previous_page_section_name=1000
【已消毒可长租!】% Coffee旁，建国西路花园房，1/7/9/10地铁，静安寺2 站，徐家汇1站	整套房子	1室1.5卫1床	19	332	Null	https://www.airbnb.cn/rooms/34959957?previous_page_section_name=1000
简约LOFT【外滩】【城隍庙】【豫园】【人民广场】【东方明珠】【 南京东路步行街【大悦城】地铁全独立	整间LOFT	2室1卫3床	0	258	Null	https://www.airbnb.cn/rooms/39938820?previous_page_section_name=1000
妍•美宿【陆家嘴景观】市中心离外滩2.5公里，虹口足球场1.5公里，四轨环绕，智能门锁，江景榻榻米	整套公寓	1室1卫1床	69	329	Null	https://www.airbnb.cn/rooms/38717562?previous_page_section_name=1000
近江苏路静安寺商圈，全新高级公寓一房/奕一5/点房东头像看房东其他房源更多房源供选择	整套公寓	1室1卫1床	24	458	Null	https://www.airbnb.cn/rooms/24660629?previous_page_section_name=1000
近陕西南路地铁站 老上海石库门法式洋房 独门阳光花园/私人影院 /贵妃浴缸 感受不一样的上海风情	整套公寓	1室1卫1床	102	510	Null	https://www.airbnb.cn/rooms/32079032?previous_page_section_name=1000
【每客消毒】陆家嘴核心区域独立整套投影一居/免清洁费/2号线东昌路零距离/近外滩南京路人广	整套公寓	1室1卫1床	7	298	Null	https://www.airbnb.cn/rooms/40854730?previous_page_section_name=1000
徐汇downtown毗邻田子坊新天地高级公寓 直达迪斯尼@接送机服务	整套公寓	1室1卫1床	137	265	Null	https://www.airbnb.cn/rooms/15707889?previous_page_section_name=1000
1#DesignerApartment静安区高层公寓带投影/下楼就是大悦城商场和地铁站/高端品质民宿	整套公寓	1室1卫1床	40	249	Null	https://www.airbnb.cn/rooms/37987307?previous_page_section_name=1000
Shanghai DownTown	独立房间	1室1卫1床	0	267	Null	https://www.airbnb.cn/rooms/41312150?previous_page_section_name=1000
醒家·乐1市中心淮海中路商区巨幕家庭影院套独立四人套房	整间LOFT	2室1卫2床	13	580	Null	https://www.airbnb.cn/rooms/35467896?previous_page_section_name=1000
New 7号武康路上绝美艺术公寓	整套公寓	1室1卫1床	38	450	Null	https://www.airbnb.cn/rooms/34236832?previous_page_section_name=1000
主卧，独立卫生间，市中心高层电梯，双地铁线口距离400米	独立房间	1室1卫1床	0	198	Null	https://www.airbnb.cn/rooms/43345735?previous_page_section_name=1000
【Loft复式花园别墅】毗邻地铁1/7地铁口	整栋别墅	1室1卫1床	27	299	Null	https://www.airbnb.cn/rooms/38027205?previous_page_section_name=1000
喵汪物语 高端小区定时消毒4k投影の TATAMI 房みんしゅ	独立房间	1室1.5卫1床	192	202	Null	https://www.airbnb.cn/rooms/21011699?previous_page_section_name=1000
［Sale］Fine B&B高评分的老上海弄堂洋房/住进梧桐树下独享惬意小阳台/市中心好位置/近淮海路	PLUS	Null	305	297	Null	https://www.airbnb.cn/rooms/plus/14057724?previous_page_section_name=1000
Lionterest小狮家新房特价|租界网红街百年洋房loft复式浪漫巴洛克浴缸情侣露台复古咖啡花园	整间LOFT	1室1卫2床	44	359	Null	https://www.airbnb.cn/rooms/34576917?previous_page_section_name=1000
【Japanese style house】super clean room<3分钟近地铁>	独立房间	1室1卫1床	8	85	Null	https://www.airbnb.cn/rooms/39044144?previous_page_section_name=1000
【已全面消毒，长租优惠多】210C长宁白领LOFT /延安西路地铁站/中山公园/简约一室	整套公寓	1室1卫1床	8	207	Null	https://www.airbnb.cn/rooms/43055588?previous_page_section_name=1000
【Empyrean】要多市中心就有多市中心。环贸零距离|静安寺|新天地	合住房间	1室1卫1床	109	123	Null	https://www.airbnb.cn/rooms/33865370?previous_page_section_name=1000
可长租！南京西路巨鹿路单人间 背包客美签首选 市中心交通便利	整套公寓	1室1卫1床	31	120	Null	https://www.airbnb.cn/rooms/28394310?previous_page_section_name=1000
已消毒可入住 13{四地铁交汇}畅游*清新一居/近光启城.衡山路/上海体育馆/第六人民医院	整套公寓	1室1卫1床	56	195	Null	https://www.airbnb.cn/rooms/30389158?previous_page_section_name=1000
「慢时光」老弄堂温馨小窝|近中山公园|交通便利|迪士尼机场直达|洋房景观区|特色艺术馆|网红餐厅	整套房子	1室1卫1床	28	248	Null	https://www.airbnb.cn/rooms/31047072?previous_page_section_name=1000
9号线七宝站+10号线航中路站 地铁口温馨小单间 打车10分钟到虹桥机场和虹桥站	独立房间	1室1卫1床	4	90	Null	https://www.airbnb.cn/rooms/37980874?previous_page_section_name=1000
《疫情可入住》Z1舒适复古♣外滩旁两房适合家庭亲子 近人民广场 南京路 地铁1/2/8/10号线	整套公寓	2室1卫2床	37	499	Null	https://www.airbnb.cn/rooms/31155056?previous_page_section_name=1000
福楼(60)陕西南路地铁站+淮海中路环贸ipam历史街区的老上海洋房，领略不一样的城市风景。	整套公寓	1室1卫1床	3	145	Null	https://www.airbnb.cn/rooms/39635943?previous_page_section_name=1000
七宝老街9号线10号线地铁+虹桥火车站阳光充沛大床房	独立房间	1室1卫1床	14	138	Null	https://www.airbnb.cn/rooms/38667745?previous_page_section_name=1000
【城市之光•夜未央】长租特惠，外滩边的设计loft，高级灰+清新粉格调美宅，超大投影，近地铁	整套公寓	1室1卫2床	31	398	Null	https://www.airbnb.cn/rooms/37709213?previous_page_section_name=1000
【晓房子-建筑师自宅】现代高品质精致公寓，10/3/4号线直达虹桥机场火车站/外滩，近徐家汇天主堂	整套公寓	1室1卫2床	42	488	Null	https://www.airbnb.cn/rooms/36297978?previous_page_section_name=1000
永康路旁老洋房，毗邻音乐学院，田子坊，iapm，上海歌剧院	整套房子	1室1卫1床	20	248	Null	https://www.airbnb.cn/rooms/14866287?previous_page_section_name=1000
已消毒可入住 12{四地铁交汇}畅游*清新一居/近衡山路/上海体育馆/第六人民医院	整套公寓	1室1卫1床	58	195	Null	https://www.airbnb.cn/rooms/30389081?previous_page_section_name=1000
房间《0907》地铁1、3、和4号线步行2分钟左右，上海站就在附近，太阳山广场（购物中心）步行6分钟	整套公寓	1室1卫0床	0	199	Null	https://www.airbnb.cn/rooms/41539049?previous_page_section_name=1000
【潭古.丽芙】老宅新生2/11号线江苏路地铁站/中山公园/愚园路/创邑办公/米域一室户Loft整租	整间LOFT	1室1卫2床	9	324	Null	https://www.airbnb.cn/rooms/39805202?previous_page_section_name=1000
【12】大世界/人民广场/紧临豫园/外滩/南京东路步行街/8号线	整套公寓	1室1卫2床	0	399	Null	https://www.airbnb.cn/rooms/43426034?previous_page_section_name=1000
可长租！网红武康路温馨投影仪一居 常熟路/图书馆地铁站	整套公寓	1室1卫1床	6	199	Null	https://www.airbnb.cn/rooms/38442383?previous_page_section_name=1000
[醒家民宿]34市中心伊朗总领事馆对门，复古老上海风格，干净温馨套房	整套公寓	1室1卫1床	19	458	Null	https://www.airbnb.cn/rooms/35079924?previous_page_section_name=1000
我家即我岛：欢迎你来我的岛上做客	独立房间	1室1卫1床	0	158	Null	https://www.airbnb.cn/rooms/43311988?previous_page_section_name=1000
『New•宿-喵居』【回忆】纯白木结构老房LOFT|江苏路|静安寺|中山公园|2号11号线地铁5分钟	整套公寓	1室1卫1床	148	338	Null	https://www.airbnb.cn/rooms/27881027?previous_page_section_name=1000
【乐意公社/月租可谈】匿于老租界绝美独栋木屋/武康路/地铁迪士尼直达&网红打卡集聚地&独享后花园	整套房子	1室1卫1床	102	420	Null	https://www.airbnb.cn/rooms/33483011?previous_page_section_name=1000
【已全面消毒，长租优惠多】206C长宁精致LOFT 3/4号线/中山公园/简约时尚	整套公寓	1室1卫1床	4	218	Null	https://www.airbnb.cn/rooms/43054921?previous_page_section_name=1000
长租优惠 市中心、徐家汇、体育场地铁4、11号线出口旁，密语空间（可做饭洗衣服）	整套公寓	1室1卫2床	13	218	Null	https://www.airbnb.cn/rooms/41386578?previous_page_section_name=1000
